年份,经度,纬度,展叶期,物种,站点名ID,分组,平均数,中位数,极差,离差,离差平方和,方差,标准差,变异系数
1971,45.08,-71.28,136,白丁香,272,1,126.454545454545,123,20,1,5.75,54.8727272727273,7.40761279176546,0.0585792528464558
1974,45.08,-71.28,136,白丁香,272,1,126.454545454545,123,20,1,5.75,54.8727272727273,7.40761279176546,0.0585792528464558
1975,45.08,-71.28,133,白丁香,272,1,126.454545454545,123,20,0.85,5.75,54.8727272727273,7.40761279176546,0.0585792528464558
1976,45.08,-71.28,116,白丁香,272,1,126.454545454545,123,20,0,5.75,54.8727272727273,7.40761279176546,0.0585792528464558
1977,45.08,-71.28,122,白丁香,272,1,126.454545454545,123,20,0.3,5.75,54.8727272727273,7.40761279176546,0.0585792528464558
1978,45.08,-71.28,136,白丁香,272,1,126.454545454545,123,20,1,5.75,54.8727272727273,7.40761279176546,0.0585792528464558
1979,45.08,-71.28,120,白丁香,272,1,126.454545454545,123,20,0.2,5.75,54.8727272727273,7.40761279176546,0.0585792528464558
1980,45.08,-71.28,123,白丁香,272,1,126.454545454545,123,20,0.35,5.75,54.8727272727273,7.40761279176546,0.0585792528464558
1981,45.08,-71.28,121,白丁香,272,1,126.454545454545,123,20,0.25,5.75,54.8727272727273,7.40761279176546,0.0585792528464558
1982,45.08,-71.28,126,白丁香,272,1,126.454545454545,123,20,0.5,5.75,54.8727272727273,7.40761279176546,0.0585792528464558
1983,45.08,-71.28,122,白丁香,272,1,126.454545454545,123,20,0.3,5.75,54.8727272727273,7.40761279176546,0.0585792528464558
1983,33.21,-109.29,74,紫丁香,22781,2,71.9090909090909,72,52,0.634615384615385,6.53846153846154,187.690909090909,13.7000331784602,0.190518792620811
1984,33.21,-109.29,78,紫丁香,22781,2,71.9090909090909,72,52,0.711538461538462,6.53846153846154,187.690909090909,13.7000331784602,0.190518792620811
1985,33.21,-109.29,69,紫丁香,22781,2,71.9090909090909,72,52,0.538461538461538,6.53846153846154,187.690909090909,13.7000331784602,0.190518792620811
1986,33.21,-109.29,72,紫丁香,22781,2,71.9090909090909,72,52,0.596153846153846,6.53846153846154,187.690909090909,13.7000331784602,0.190518792620811
1987,33.21,-109.29,93,紫丁香,22781,2,71.9090909090909,72,52,1,6.53846153846154,187.690909090909,13.7000331784602,0.190518792620811
1988,33.21,-109.29,69,紫丁香,22781,2,71.9090909090909,72,52,0.538461538461538,6.53846153846154,187.690909090909,13.7000331784602,0.190518792620811
1989,33.21,-109.29,76,紫丁香,22781,2,71.9090909090909,72,52,0.673076923076923,6.53846153846154,187.690909090909,13.7000331784602,0.190518792620811
1990,33.21,-109.29,88,紫丁香,22781,2,71.9090909090909,72,52,0.903846153846154,6.53846153846154,187.690909090909,13.7000331784602,0.190518792620811
1991,33.21,-109.29,60,紫丁香,22781,2,71.9090909090909,72,52,0.365384615384615,6.53846153846154,187.690909090909,13.7000331784602,0.190518792620811
